Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21711990,00000130,false,Rx,0,5,41,41,A1,0F,4A,00,00,00,
21761837,00000480,false,Rx,0,8,01,42,FE,01,FF,FF,FF,FF,
21813042,00000130,false,Rx,0,5,41,41,A1,0F,5B,00,00,00,
21847054,00000481,false,Rx,0,8,40,42,FF,01,FF,FF,FF,FF,
21911952,00000130,false,Rx,0,5,41,41,A1,0F,7C,00,00,00,
21947351,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
22012030,00000130,false,Rx,0,5,41,41,A1,0F,8D,00,00,00,
22038992,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
22111914,00000130,false,Rx,0,5,41,41,A1,0F,9E,00,00,00,
22135674,000004D6,false,Rx,0,8,60,42,FF,01,FF,FF,FF,FF,
22211912,00000130,false,Rx,0,5,41,41,A1,0F,A0,00,00,00,
22227844,000004E0,false,Rx,0,8,61,42,FF,01,FF,FF,FF,FF,
22309402,000004E1,false,Rx,0,8,62,42,FE,01,FF,FF,FF,FF,
22311949,00000130,false,Rx,0,5,41,41,A1,0F,B1,00,00,00,
22410552,000004E2,false,Rx,0,8,67,42,FE,01,FF,FF,FF,FF,
22411928,00000130,false,Rx,0,5,41,41,A1,0F,C2,00,00,00,
22498554,000004E7,false,Rx,0,8,6D,52,FE,01,FF,FF,FF,FF,
22511943,00000130,false,Rx,0,5,41,41,A1,0F,D3,00,00,00,
22597032,000004ED,false,Rx,0,8,72,52,FE,01,FF,FF,FF,FF,
22611950,00000130,false,Rx,0,5,41,41,A1,0F,E4,00,00,00,
22682664,000004F2,false,Rx,0,8,73,52,FD,01,00,40,01,00,
22711985,00000130,false,Rx,0,5,41,41,A1,0F,F5,00,00,00,
22764985,000004F3,false,Rx,0,8,78,42,FE,01,FF,FF,FF,FF,
22811969,00000130,false,Rx,0,5,41,41,A1,0F,06,00,00,00,
22851391,000004F8,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
22911946,00000130,false,Rx,0,5,41,41,A1,0F,17,00,00,00,
22942193,00000480,false,Rx,0,8,01,42,FE,01,FF,FF,FF,FF,
23011961,00000130,false,Rx,0,5,41,41,A1,0F,28,00,00,00,
23027014,00000481,false,Rx,0,8,40,42,FF,01,FF,FF,FF,FF,
23111968,00000130,false,Rx,0,5,41,41,A1,0F,39,00,00,00,
23127649,000004C0,false,Rx,0,8,41,42,FF,01,30,01,EC,03,
23212008,00000130,false,Rx,0,5,41,41,A1,0F,4A,00,00,00,
23216928,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
23303275,000004D6,false,Rx,0,8,60,42,FF,01,FF,FF,FF,FF,
23313191,00000130,false,Rx,0,5,41,41,A1,0F,5B,00,00,00,
23389568,000004E0,false,Rx,0,8,61,42,FF,01,FF,FF,FF,FF,
23411994,00000130,false,Rx,0,5,41,41,A1,0F,7C,00,00,00,
